مرحبًا.	Hi.
أنا مسرورة لعدم وجودي هناك.	I'm glad I wasn't here.
أنا مسرور لعدم وجودي هناك.	I'm glad I wasn't here.
أنا سعيد بحياتي.	I'm happy with my life.
أنا أستمع إلى الموسيقى.	I'm listening to music.
لم أعد بلا مأوى	I'm no longer homeless.
لن أدع توما يذهب.	I'm not letting Tom go.
أنا لستُ صديقك.	I'm not your boyfriend.
أنا كبير بما يكفي للتصويت.	I'm old enough to vote.
أنا كبير بما فيه الكفاية لأصوت.	I'm old enough to vote.
أنا مستعد للمغادرة الآن.	I'm ready to leave now.
أنا حقاً محرج.	I'm really embarrassed.
لقد أُحرجت حقاً.	I'm really embarrassed.
أخاف من أطباء الأسنان	I'm scared of dentists.
أفكر فيك.	I'm thinking about you.
أنا أحاول أن أساعدك.	I'm trying to help you.
إني أكتب مقالا.	I'm writing an article.
لديَ فكرة أفضل.	I've got a better idea.
لدي حجز.	I've got a reservation.
أنا بحثت في كل مكان.	I've looked everywhere.
لم يعد لدي إلا واحدة.	I've only got one left.
حاولت أن أحذرك.	I've tried to warn you.
هل غاب أحد اليوم؟	Is anyone absent today?
هل أبوها طبيب؟	Is her father a doctor?
هل أُخذت هذه الصورة حديثاً؟	Is it a recent picture?
هل هذه صورة حديثة؟	Is it a recent picture?
هل ذاك كلب أم قطة؟	Is that a cat or a dog?
هل أُخذت هذه الصورة حديثاً؟	Is this a recent photo?
هل صديقكِ هنا؟	Is your boyfriend here?
لم يفاجئني ذلك.	It doesn't surprise me.
إنها تمطر بشدة الآن.	It is raining hard now.
تبدو كتفاحة.	It looks like an apple.
لربما تمطر غداً.	It might rain tomorrow.
كانت غرفة كبيرة.	It was a very big room.
كان ذلك خيارك أنت.	It was your own choice.
الجو بارد هذا الصباح.	It's cold this morning.
الجو دافئ بعض الشيء اليوم.	It's fairly warm today.
إنه تماماً ما نحتاج.	It's just what we need.
حان وقت ذهابي.	It's time for me to go.
إنه مكتوب بالفرنسية.	It's written in French.
إتبع قلبك فحسب.	Just follow your heart.
اتبع قلبك فحسب.	Just follow your heart.
دعنا لا نستبق الأمور.	Let's not jump the gun.
لنتحدث بالإنجليزية.	Let's speak in English.
اسمعني جيداً.	Listen to me carefully.
كونو نافعين.	Make yourselves useful.
تحب ماري مشاهدة التلفاز.	Mary likes watching TV.
مريم ذات خلق.	Maryam is well behaved.
أيمكنني استعارة هذا الكتاب؟	May I borrow this book?
لا تتدخل في ما لا يعنيك!	Mind your own business!
اهتم بشؤونك الخاصة.	Mind your own business!
لا تتدخل في ما لا يعنيك.	Mind your own business!
أخي أحمق.	My brother is an idiot.
أخي أبله.	My brother is an idiot.
أخي يحب الموسيقى.	My brother likes music.
ضميري مرتاح.	My conscience is clear.
كلبي حاد الذكاء.	My dog is pretty smart.
تحقق حلمي.	My dream has come true.
أبي مدرّس.	My father is a teacher.
شعري لونه بني فاتح.	My hair is light brown.
قطّعت أمي الكعك.	My mother cut the cake.
تتبع أمي حميةً.	My mother is on a diet.
أوامري مُطْلَقَة.	My orders are absolute.
غرفتي دائما نظيفة.	My room is always neat.
غرفتي ليست كبيرة جدا.	My room isn't very big.
جاء ابني إلى غرفتي.	My son came to my room.
أتى ولدي إلى غرفتي.	My son came to my room.
أُغْلِقَتْ نوافِذِي.	My windows were closed.
نيويورك مدينة كبيرة.	New York is a big city.
لا يستطيع أحد أن ينكر هذا.	No one could deny this.
لم يعرف أحد من فعلها.	No one knew who did it.
لم يأت أحد لمساعدتي.	Nobody came to help me.
على المرء أن يجتهد.	One must do one's best.
على المرء أن يفعل كلّ ما بوسعه.	One must do one's best.
اِحترقت مدرستنا.	Our school burned down.
اختر مضربك المفضل.	Pick your favorite bat.
قد بحذر من فضلك.	Please drive carefully.
ساعدو أنفسكم من فضلكم.	Please help yourselves.
الممارسة تؤدي إلى الإتقان.	Practice makes perfect.
الممارسة هي الطريق إلى الإتقان.	Practice makes perfect.
للأرانب آذان طويلة.	Rabbits have long ears.
اترك لي بعض المثلجات.	Save me some ice cream.
أراك غدا مساءا.	See you tomorrow night.
طلبت منه المساعدة.	She asked him for help.
تأكل اللحم الطري فقط.	She ate only lean meat.
بإمكانها العزف على البيانو.	She can play the piano.
يمكنها تحدث اليابانيّة.	She can speak Japanese.
أكملت حديثها.	She continued her talk.
إنها لا تحب السوشي.	She doesn't like sushi.
لديها الكثير من الكتب.	She has a lot of books.
لديها عينان جميلتان.	She has beautiful eyes.
إنها في الحمام.	She is in the bathroom.
تحب الفساتين الزرقاء.	She likes blue dresses.
ارتجفت خوفاً.	She trembled with fear.
كانت ترتدي فستاناً أحمراً.	She was dressed in red.
هىَ كانت غاضبة علىَ إبنها.	She was mad at her son.
إنها تعمل في مجال التسويق.	She works in marketing.
إنها بلا شك محقة.	She's correct for sure.
التدخين عادة سيئة.	Smoking is a bad habit.
أحدهم يتصل بك.	Someone is calling you.
هناك شخصٌ ما يريدك على الهاتف.	Someone is calling you.
كان ثمّة أمر لم يبدو على ما يرام.	Something seemed amiss.
إنك تخيفني في بعض الأحيان.	Sometimes you scare me.
إنك تشعرني بالخوف أحيانا.	Sometimes you scare me.
السناجب سريعة الحركة.	Squirrels move quickly.
خذني إلى قائدكم.	Take me to your leader.
أخبر توم بأني مشغول.	Tell Tom that I'm busy.
الأسود لي.	That black one is mine.
لم يكن هذا خطئي.	That wasn't my mistake.
مذاق هذا الماء طيب.	That water tastes good.
لكان أمرا مسليا.	That would've been fun.
ذلك لن يغير شيء.	That'll change nothing.
هذا سؤال جيد.	That's a good question.
انها فكرة رائعة.	That's a terrific idea.
هذا ما يقوله الناس.	That's what people say.
هذا ما تريده النّساء.	That's what women want.
لهذا السبب جئت الى هنا.	That's why I came here.
أخذ الولد يبكي.	The boy started crying.
ما زالت الحشرة حية.	The bug is still alive.
نظرت الفتاة حولها.	The girl looked around.
نظرت البنت حولها.	The girl looked around.
كان الفتيان يشربون.	The guys were drinking.
هُجر المنزل.	The house was deserted.
السكين ليست حادة.	The knife is not sharp.
استمر المطر أسبوعاً.	The rain lasted a week.
كانت البوابة الخلفية مفتوحة .	The rear gate was open.
الديك يصيح.	The rooster is crowing.
الديك يؤذن.	The rooster is crowing.
إنها لذيذة المذاق.	The taste is delicious.
الماء جميل.	The water is beautiful.
كان الماء باردا جدّا.	The water was freezing.
الدنيا جميلة.	The world is beautiful.
العالم جميل.	The world is beautiful.
هناك عوامل كثيرة.	There are many factors.
هناك سبب آخر.	There's another reason.
لا يوجد فصل اليوم.	There's no class today.
هؤلاء بناتي.	These are my daughters.
تبدو تلك اللآلئ حقيقية.	These pearls look real.
إتّفقوا على سعرٍ مُعيّن.	They agreed on a price.
إتفقوا على سعر.	They agreed on a price.
إتفقوا على سعرٍ ما.	They agreed on a price.
يُقال أن الحب أعمى.	They say love is blind.
إنهم كلهم ضدي.	They're all against me.
هذه التفاحة شديدة الحمرة.	This apple is very red.
هذه التفاحة حمراء جداً.	This apple is very red.
هذه التفاحة طعمها حامض.	This apple tastes sour.
هذا القارب صالحاً للإبحار.	This boat is seaworthy.
هذا الملف معطوب.	This file is corrupted.
هذه ألماسة حقيقية.	This is a real diamond.
هذا صعبٌ جداً.	This is extremely hard.
هذه ليست جملةً.	This is not a sentence.
هذا مهم جداً.	This is very important.
هذا هو المكان الذي يعيش فيه.	This is where he lives.
أصبح هذا اللحم سيئا.	This meat has gone bad.
هذا اللحم لذيذ.	This meat is delicious.
لا بد أن يكون هذا خطأ.	This must be a mistake.
يفكّرني هذا بكِ.	This reminds me of you.
هذه الوردة جميلة.	This rose is beautiful.
حجزت هذه الطاولة.	This table is reserved.
هذه الطاولة محجوزة.	This table is reserved.
لم يكن هذا خطئي.	This wasn't my mistake.
مذاق هذا الماء طيب.	This water tastes good.
تلك كتبهم.	Those books are theirs.
اليوم هو يوم ميلادك	Today is your birthday.
أصبح توم شرطيا.	Tom became a policeman.
يجمع توم العملات القديمة.	Tom collects old coins.
يمكن لتوم توضيح ذلك.	Tom could explain that.
قطع سامي السلك الخطأ.	Tom cut the wrong wire.
لم يتوقّف سامي عن البكاء.	Tom didn't stop crying.
أعطاني توم بعض الكتب.	Tom gave me some books.
توم لديه الم رأس سيئ.	Tom had a bad headache.
إن توم مستمع جيد	Tom is a good listener.
توم رجل ممتاز	Tom is a very nice guy.
توم وحيد تماما من جديد.	Tom is all alone again.
توم غاضب معَ مارى.	Tom is angry with Mary.
توم يلعب الصحن الطائر.	Tom is playing frisbee.
توم طويلٌ وقويّ.	Tom is tall and strong.
لن يفوز توم.	Tom isn't going to win.
توم يعلم أنه بإمكانه فعلها.	Tom knows he can do it.
ترك توم البوابة مفتوحة.	Tom left the gate open.
استمتع توم بالعمل هنا.	Tom liked working here.
ارتكب توم خطأ شنيعا.	Tom made a big mistake.
لا شك أن توم يستمتع.	Tom must be having fun.
دفع سامي ثمن البيتزا.	Tom paid for the pizza.
أخبرنا توم بما علينا فعله.	Tom told us what to do.
ركب توم الحافلة الخطأ	Tom took the wrong bus.
أراد توم أن تعرف.	Tom wanted you to know.
كان توم يعمل عندي.	Tom was working for me.
لن يقوم توم بفعل ذلك أبدا.	Tom will never do that.
اِندلعت الحرب فجأة.	War suddenly broke out.
نحن نتعلم العربيه	We are learning Arabic.
لن نفوز.	We aren't going to win.
يمكننا فتح النافذة.	We can open the window.
ليس لدينا طعام.	We don't have any food.
لقد نفذ ما لدينا من الغاز .	We have run out of gas.
علينا الحصول على نتائج.	We have to get results.
نحن نتعلم بالتجربة.	We learn by experience.
سنرى ما سيحدث.	We'll see what happens.
سعيدون لرؤيتك.	We're happy to see you.
بات الأمر واضحا الآن.	Well, it's obvious now.
لم يكونوا راضين؟	Weren't they satisfied?
ما الذي تخشاه ؟	What are you afraid of?
أي خيار كان لدي؟	What choice did I have?
ما لون قبعتك؟	What color is your hat?
ماذا قلت لي؟	What did you say to me?
ما الذي تراهُ فيه؟	What do you see in him?
ماذا تريد أن تصبح في المستقبل؟	What do you want to be?
ما مجال عمل خالتك؟	What does your aunt do?
ماذا تعمل عمتك؟	What does your aunt do?
ماذا قالوا أيضا؟	What else did they say?
ما الفائدة من ذلك؟	What good will that do?
ما الذي أغضبك بهذا الشكل؟	What made you so angry?
ما فعلته أنتَ كان خاطئاً.	What you did was wrong.
ما فعلتيهِ أنتِ كان خاطئاً.	What you did was wrong.
إلى ماذا تنظر؟	What're you looking at?
ما مهنتك؟	What's your occupation?
أنی لك هذا ؟	Where did you get this?
أين ضربتهم؟	Where did you hit them?
أين التقيت بتوم ؟	Where did you meet Tom?
من أين أنت؟	Where do you come from?
أين كنت في 2003؟	Where were you in 2003?
أيّ طالب خرج؟	Which student went out?
أيّ طريق يؤدّي إلى الشاطئ؟	Which way is the beach?
من هذان الولدان؟	Who are these two boys?
من شرب النبيذ كله؟	Who drank all the wine?
من يدرّسك الفرنسية؟	Who teaches you French?
لماذا تفعل هذا؟	Why are you doing this?
لماذا تفعلين هذا؟	Why are you doing this?
لماذا أنت منزعج كثيرا؟	Why are you so annoyed?
لماذا أنت عابس جدا؟	Why are you so grouchy?
لماذا أنت غيور كثيرا؟	Why are you so jealous?
لم أنت أناني لهذه الدّرجة؟	Why are you so selfish?
لماذا أنت منحوس كثيرا؟	Why are you so unlucky?
لم أنت متوتّر لهذه الدّرجة؟	Why are you so uptight?
لم صفّ توم سيّارته هناك؟	Why did Tom park there?
لم تركتني؟	Why did you abandon me?
لم لم تقبل؟	Why didn't you say yes?
لم لم توافق؟	Why didn't you say yes?
لم لم تقل نعم؟	Why didn't you say yes?
لمذا أتيت إلى هنا؟	Why have you come here?
لم تر طبيباً؟	Why not see the doctor?
لم كان يحدث ذلك؟	Why was that happening?
هل سيعود يوماً ما؟	Will he ever come back?
هل لك أن توصلني إلى البيت؟	Will you drive me home?
تعبر الكلمات عن الأفكار.	Words express thoughts.
هل تود القدوم؟	Would you like to come?
هل ستلعب معي؟	Would you play with me?
أيمكنك اللعب معي؟	Would you play with me?
البارحة كان يوم الخميس.	Yesterday was Thursday.
أنت طالب جيد.	You are a good student.
أنت نِعْمَ الطالب.	You are a good student.
أنت أحْسَنُ منّي.	You are better than me.
أنت صديقي المفضل.	You are my best friend.
أنت لست صديقنا.	You are not our friend.
لقد وصفتني بالجبان.	You called me a coward.
بإمكانك الذهاب إذا أردت.	You can go if you want.
يمكنك أن تفتح عينيك الآن.	You can open your eyes.
بإمكانك استخدامها في أي وقت.	You can use it anytime.
لا تستطيع ركوب حصان.	You can't ride a horse.
تستحق أن تنجح.	You deserve to succeed.
ليس لديك حمى.	You don't have a fever.
عندك ذاكرة حادة.	You have a good memory.
معك حق في تلك النقطة.	You have a point there.
عليك أن تكون صبوراً.	You have to be patient.
عليك أن تسامحني.	You have to forgive me.
عليكِ أن تسامحيني.	You have to forgive me.
من الممكن أن تكون قد أخبرتني.	You might have told me.
لربما قد سبق و قلت لي ذلك.	You might have told me.
انت بحاجة أن تدرس أكثر	You need to study more.
يتوجب عليك أن تشكره.	You ought to thank him.
عليك أن تلزم السرير.	You should stay in bed.
لا يَجِبُ أَنْ تَقولَ ذلِك	You shouldn't say that.
كلامك يذكرني بزوجتي	You sound like my wife.
أخذتَ مفتاحًا خطأً.	You took the wrong key.
لقد تأخرت عن العمل.	You were late for work.
ستتحسن قريبا.	You will soon get well.
الأفضل أن تذهب بالحافلة.	You'd better go by bus.
حريّ لك الذهاب إلى الفراش.	You'd better go to bed.
من الأفضل لك أن تبدأ الآن.	You'd better start now.
أنت طباخ رهيب.	You're a terrible cook.
لست سريعاً بما فيه الكفاية.	You're not fast enough.
لست سريعاً بما يكفي.	You're not fast enough.
أنت لوحدك الآن.	You're on your own now.
أنت موهوبٌ حقاً.	You're really talented.
يا لك من ولد جميل!	You're such a cute boy.
أنت دقيق الملاحظة.	You're very perceptive.
كعكتك شهية.	Your cake is delicious.
تبدو خطتك جيدة.	Your plan sounds great.
اتّصل بي مدرّسك.	Your teacher called me.
يستطيع الدب تسلق الشجرة.	A bear can climb a tree.
كثير من الناس يقومون بذلك.	A lot of people do that.
باءت كل محاولاتنا بالفشل.	All our attempts failed.
أطع أباك دوماً.	Always obey your father.
هل هذه صورك؟	Are those your pictures?
هل أنتَ سعيد مع ذلك؟	Are you happy with that?
ألستِ والدة توم؟	Aren't you Tom's mother?
الجمالُ جمالُ النفسِ.	Beauty is but skin deep.
هل لي أن أستعير مذياعك؟	Can I borrow your radio?
هل لي أن أرى جواز سفرك؟	Can I see your passport?
هل أستطيع أن أرى جواز سفرك؟	Can I see your passport?
هل يمكنني البقاء هذه الليلة ؟	Can I stay here tonight?
هل أستطيع أن آخذ هذهِ معي؟	Can I take this with me?
هل يمكنني إنتظار توم هنا؟	Can I wait for Tom here?
هل تستطيع أكل المحار النيء؟	Can you eat raw oysters?
أحقاً لا يمكنك السباحة؟	Can you really not swim?
هل يمكنك ان تريني الطريق؟	Can you show me the way?
ألا يمكنك تحدث الإنجليزية؟	Can't you speak English?
ألا يمكنك تكلم الإنجليزية؟	Can't you speak English?
يلعب الأولاد باللعب.	Children play with toys.
الصين بلد كبير	China is a huge country.
الصين دولة كبيرة جداً	China is a huge country.
اعتبر نفسك محظوظا	Consider yourself lucky.
هل لك أن تسدي إلي معروفاً؟	Could you do me a favor?
هل كسرت شيئًا؟	Did you break something?
هل خرّبت شيئًا؟	Did you break something?
هل لحقت بالقطار؟	Did you catch the train?
هل جئت وحدك؟	Did you come here alone?
هل نسيت شيئا؟	Did you forget anything?
هل صححت الإمتحانات؟	Did you grade the tests?
هل سمعت ذلك الصوت؟	Did you hear that sound?
أسمعت ذاك الصوت؟	Did you hear that sound?
هل آذيتم أنفسكم؟	Did you hurt yourselves?
أتحبان بعضكما؟	Do they love each other?
أتقبلون الدفع ببطاقة الإئتمان؟	Do you accept Visa card?
هل لديك الم في اسنانك	Do you have a toothache?
هل تعاني من الم الاسنان	Do you have a toothache?
هل لديك أي أقلام رصاص؟	Do you have any pencils?
هل تعرف أسماءهم؟	Do you know their names?
هل فهمت ما أقصده؟	Do you know what I mean?
هل تحب أكل السمك؟	Do you like eating fish?
هل تريد عصير فاكهة؟	Do you want fruit juice?
هل تريد بعض الفلفل؟	Do you want some pepper?
هل لديه كتب كثيرة؟	Does he have many books?
ألا يزعجك ذلك؟	Doesn't that bother you?
لا تتهرّب من سؤالي.	Don't avoid my question.
لا تنس التذكرة.	Don't forget the ticket.
لا تنس تذكرة الدخول.	Don't forget the ticket.
لا تنس نقودك.	Don't forget your money.
لا ُثعطني أي فكرة.	Don't give me any ideas.
لا تقرأ في تلك الغرفة.	Don't read in that room.
لا تقرأ في تلك الغرفة.	Don't read in this room.
لا تقلق. أنا سأفعلها.	Don't worry. I'll do it.
ضحك الجميع عليّ.	Everybody laughed at me.
ضحك الجميع عليه.	Everyone laughed at him.
الكل ضحك عليه.	Everyone laughed at him.
كل ابن آدم خطاّء	Everyone makes mistakes.
كل شخص يرتكب الأخطاء.	Everyone makes mistakes.
إنه جو رائع ، أليس كذلك؟	Great weather, isn't it?
هل سبق لك أن ذهبت إلى لندن؟	Have you been to London?
طلب منا أن نساعده.	He asked us to help him.
طلب منا المساعدة.	He asked us to help him.
يمكنه القراءة بشكل جيد.	He can read pretty well.
إنه يصاب بالزكام بسهولة.	He catches colds easily.
التقط سمكة سلمون مرقط كبيرة.	He caught a large trout.
لم يستطع الحصول على الوظيفة.	He couldn't get the job.
قرر أن يسافر إلى الخارج.	He decided to go abroad.
رفض عرضي.	He declined my proposal.
إنه لا يحتاج إلى أن يعمل.	He doesn't need to work.
غرق في النهر.	He drowned in the river.
هو معروف لدى الجميع.	He is known to everyone.
إنه قوي كالحصان.	He is strong as a horse.
إنه يحب أي شيء حلو المذاق.	He likes anything sweet.
نظر إلى السماء.	He looked up at the sky.
إنه لا يشرب الكحول على الإطلاق.	He never drinks alcohol.
هو اغضبني حقاً .	He really ticked me off.
يشاهد التلفاز أحياناً.	He sometimes watches TV.
هو كان أعمى منذ ولادته.	He was blind from birth.
شهد حصول الجريمة.	He witnessed the murder.
هو مجنون بشأن كره القدم	He's crazy about soccer.
إنه أخي الأصغر.	He's my younger brother.
أثّر فيّ لطفها.	Her kindness touched me.
الخامس من مايو هو يوم ميلادها.	His birthday is May 5th.
اصطدمت سيارته بشجرة.	His car ran into a tree.
خَطهُ رديء.	His handwriting is poor.
كم تبعُد عن هنا؟	How far is it from here?
كم هي المدّة التي سيبقون فيها هنا؟	How long will they stay?
كيف تسير أمور المشروع؟	How's the project going?
أمشي إلى المدرسة دائماً.	I always walk to school.
اشتريته بالأمس.	I bought this yesterday.
أفهم قصدك.	I can see what you mean.
لا أستطيع تصديق عينيّ.	I can't believe my eyes.
لا أستطيع الدخول في التفاصيل.	I can't go into details.
لا يمكنني المكوث طويلا اليوم.	I can't stay long today.
لا يمكنني البقاء طويلا اليوم.	I can't stay long today.
لا اعرف كيف أستخدم الشوكة جيداً.	I can't use a fork well.
أحضر إلى المدرس بالحافلة.	I come to school by bus.
لا حل لدي.	I don't have a solution.
لا أعرف ماذا أفعل.	I don't know what to do.
لا أعرف ما الذي عليّ فعله.	I don't know what to do.
لا أحب الجو المغيم.	I don't like gray skies.
لا يعجبني ذلك أيضاً.	I don't like it, either.
أنا أيضاً لا يعجبني ذلك.	I don't like it, either.
لا أمانع في كلتا الحالتين.	I don't mind either way.
لم أعد أريدها.	I don't want it anymore.
وصلت هنا مساء الإثنين.	I got here Monday night.
اعتقد بأنه لا يمكننا الرفض.	I guess we can't say no.
تناولت طعام الفطور الساعة السابعة و النصف صباحاً.	I had breakfast at 7:30.
أنا لدي جار غريب.	I have a weird neighbor.
أنا لدي جارة غريبة.	I have a weird neighbor.
عندي اختبار في الغد.	I have an exam tomorrow.
لدي الآن القليل من المال.	I have little money now.
ليس لدي كتب لأقرأها.	I have no books to read.
لا أملك المال.	I have no money with me.
ليس لدي شي لأقدمه	I have nothing to offer.
لدي الآس الكوبا.	I have the ace of clubs.
عَلَيَّ فِعلُ ذلِكَ مُجَدداً	I have to do this again.
عليّ أن آخذ الدواء.	I have to take medicine.
لم أتخرج بعد.	I haven't yet graduated.
آمل أن أراك مجدداً.	I hope to see you again.
أتمنى أن أراك مرة أخرى.	I hope to see you again.
أنا أريد فقط الحصول على المتعة.	I just want to have fun.
أعلم أنه كان مشغولاً.	I know that he was busy.
أحب لعب كرة القاعدة.	I like playing baseball.
أحب دراسة التاريخ.	I like studying history.
أحب النتس جدا.	I like tennis very much.
احب العمل معك.	I love working with you.
لقد ارتكبت عدة أخطاء.	I made several mistakes.
أنا أعيش عيشة شريفة.	I make an honest living.
قابلتها في الشارع.	I met her on the street.
أنا بحاجة لأحصل على قَصِة شَعر.	I need to get a haircut.
علي أن أرتاح لدقيقة.	I need to rest a moment.
فقط كنت أريد أن أنسى.	I only wanted to forget.
مررت بأربعة بيوت.	I passed by four houses.
ألعب التنس كل يوم.	I play tennis every day.
لعبت التنس طوال اليوم.	I played tennis all day.
أفضل أن لا أعلّق.	I prefer not to comment.
تظاهرتُ بالسّعادة.	I pretended to be happy.
أنا حقا لا أستطيع مساعدتك.	I really can't help you.
أحسَب أني مُحِق.	I reckon that I'm right.
أفترض أنك جائع.	I suppose you're hungry.
أعتقد أنك جوعان.	I suppose you're hungry.
أظنّ أنّك مخطئ.	I think you're mistaken.
ظننتك ستحبه.	I thought you'd like it.
حاولت رفع معنوياته.	I tried to cheer him up.
أفهم كل شيء	I understand everything.
كنت أحب السباحة.	I used to love swimming.
عادة ما أغسل الصحون.	I usually do the dishes.
أريد التّحلّص منها.	I want to get rid of it.
أريد أن أتعلم السباحة.	I want to learn to swim.
ضحك عليّ.	I was laughed at by him.
كنتُ مستعدّا لهذا.	I was prepared for this.
لم أكن مشغولاً بالأمس.	I wasn't busy yesterday.
ذهبت إلى هناك مرات عديدة.	I went there many times.
لن أنس ذلك اليوم أبدا.	I won't forget that day.
لن أبيع الخيول.	I won't sell the horses.
يا ترى، هل يحبني؟	I wonder if he likes me.
أتساءل إن كان يحبني.	I wonder if he loves me.
أفضّل اللحم على السمك.	I'd prefer meat to fish.
سأغيب غداً.	I'll be absent tomorrow.
سأعود بعد ساعة.	I'll be back in an hour.
سأكون هناك حتى 2:30.	I'll be there till 2:30.
سوف أشتري هديّة لتوم.	I'll buy a gift for Tom.
سأشرح هذا لاحقا.	I'll explain this later.
سأبقى بالبيت غداً.	I'll stay home tomorrow.
سآخذ تلك أيضا.	I'll take that one, too.
سآخذ هذه المظلة.	I'll take this umbrella.
سأزوره غداً.	I'll visit him tomorrow.
سأزورك غداً.	I'll visit you tomorrow.
لا أعرف ماذا أقول.	I'm at a loss for words.
أشعر بأني مريض حقا.	I'm feeling really sick.
أنا لست ضد أي شخص.	I'm not against anybody.
أنا لستُ صدبقتك.	I'm not your girlfriend.
أنا لا شئ بدونك.	I'm nothing without you.
أنا كبير بما يكفي لأشرب.	I'm old enough to drink.
أنا كبير بما يكفي لأقود.	I'm old enough to drive.
أنا فقط أحاول المساعدة.	I'm only trying to help.
سررت بمعرفتك.	I'm pleased to meet you.
تشرّفت بلقائك.	I'm pleased to meet you.
سررتُ بمعرفتكَ.	I'm pleased to meet you.
سررتُ بمعرفتكِ.	I'm pleased to meet you.
أنا مستعد للأسبوع المقبل.	I'm ready for next week.
متأكد من نجاحه.	I'm sure of his success.
انا دائما اثق في توم	I've always trusted Tom.
لقد افتقدتك كثيراً.	I've missed you so much.
حُلت المشكلة.	I've solved the problem.
بَدأتُ فِعلَ ذلِك	I've started doing that.
هل كل شيء على ما يرام؟	Is everything all right?
هل تلك صورةٌ لي؟	Is that a picture of me?
هل الحقيبة السوداء ملكك؟	Is that black bag yours?
هل الحقيبة السوداء لك؟	Is that black bag yours?
هل ما زال ذلك الحليب صالحاً للشرب؟	Is that milk still good?
هل من مشكل يا سيدي؟	Is there a problem, sir?
ها هذا الماء صالح للشرب؟	Is this water drinkable?
هل أبوك طبيب؟	Is your father a doctor?
إنه الخيار الوحيد لديهم.	It is their only choice.
إنه خيارهم الوحيد.	It is their only choice.
هذا ليس خطأ أى شخص.	It isn't anyone's fault.
من الممكن أن تتجمد الأسبوع القادم.	It may freeze next week.
كان خطأ حاسوبيّ.	It was a computer error.
كان خطأً غبياً.	It was a stupid mistake.
هذا وضع صعب.	It's a tricky situation.
هذا ليس أمراً مضحكاً.	It's no laughing matter.
ليس الأمر صعباً إلى هذه الدرجة.	It's not rocket science.
ليس الأمر صعباً كعلم صناعة الصواريخ.	It's not rocket science.
إنه جزء من النظام.	It's part of the system.
انها نهاية العالم.	It's the end of a world.
إنه القرار الصائب.	It's the right decision.
للأسف ذلك صحيح.	It's unfortunately true.
مع الأسف إن ذلك صحيح.	It's unfortunately true.
الجو حار جداً، صحيح؟	It's very hot, isn't it?
اليابان قريبة من الصين.	Japan is close to China.
اليابان قريبة إلى الصين.	Japan is close to China.
اقفز بأعلى ما يمكنك.	Jump as high as you can.
فالنتفق على أن نختلف.	Let's agree to disagree.
لننسى الأمر.	Let's forget about that.
دعنا ننسى هذا.	Let's forget about this.
دعينا ننسى هذا.	Let's forget about this.
دعونا ننسى هذا.	Let's forget about this.
لننسى الأمر.	Let's forget about this.
هيا بنا نذهب إلى مكان آخر.	Let's go someplace else.
هيا بنا نذهب إلى أي مكان آخر.	Let's go somewhere else.
ماري هي سكرتيرة توم.	Mary is Tom's secretary.
هل لي أن أطلب منك شيئا؟	May I ask you something?
أيمكنني أن أستعير سِكّينَك؟	May I borrow your knife?
هل لي أن أرى جواز سفرك؟	May I see your passport?
هل يمكنني البقاء هنا الليلة؟	May I stay here tonight?
ربما توم رأى شيئاً.	Maybe Tom saw something.
من الممكن أن لا تأتي.	Maybe she will not come.
هل تمانعون إذا انضممت إليكم يا رفاق؟	Mind if I join you guys?
المال ليس كل شيء.	Money is not everything.
أغلبنا سيفعل هذا.	Most of us will do that.
أخي يعزف على الغيتار.	My brother plays guitar.
وقعت سنّي الأمامية.	My front tooth fell out.
صنعت لي أمي حقيبة.	My mother made me a bag.
أتی عمي لرؤيتي.	My uncle came to see me.
قدم عمي لرؤيتي.	My uncle came to see me.
لا تستخفَّ بتوم أبداً.	Never underestimate Tom.
لم يأت أحد سوى ماري.	No one came except Mary.
لا أحد يهتمّ بهذا .	No one cares about that.
لا، شكراً لك. لقد شبعت.	No, thank you. I'm full.
لا أحد يهتمّ بهذا .	Nobody cares about that.
لا أحد منا يتحدث اللغة الفرنسية.	None of us speak French.
مناخنا يتغير.	Our climate is changing.
من فضلك إتّصل بي لاحقاً.	Please call me up later.
من فضلك إلغِ هذا الملفّ.	Please delete this file.
من فضلك أدخل بطاقتك.	Please insert your card.
من فضلك أبقِ ذلك سراً.	Please keep this secret.
من فضلك غادر حالاً.	Please leave right away.
رجاء اركن في الخلف.	Please park in the back.
من فضلك اِكتب بقلم حبر.	Please write with a pen.
روما مدينة قديمة.	Rome is an ancient city.
اركض بأقصى سرعة.	Run as fast as possible.
سألتني سؤالاً.	She asked me a question.
اِختارت الفستان الأحمر.	She chose the red dress.
إنها لا تحب الفلفل الأخضر.	She hates green peppers.
إنها ذكية جداً.	She is very intelligent.
إنها حادة الذكاء.	She is very intelligent.
ربما تأتي غدًا.	She might come tomorrow.
انتظرتْ ردي.	She waited for my reply.
كان على وشك أن تخرج.	She was about to go out.
كانت على وشك الخروج.	She was about to go out.
كانت على وشك أن تخرج.	She was about to go out.
ستحبه إلى الأبد.	She'll love him forever.
فقدت مفاتيح سيارتها.	She's lost her car keys.
ليست صغيرة ،أليس كذلك ؟	She's not young, is she?
أرني مثالاً آخر.	Show me another example.
هل لك أن تغلق الباب؟	Shut the door, will you?
هناك من ينظر إليك.	Someone is watching you.
أحدهم يراقبك.	Someone is watching you.
